date,count,season
2017-01-01,9,Winter
2017-02-01,11,Winter
2017-03-01,7,Spring
2017-04-01,8,Spring
2017-05-01,7,Spring
2017-06-01,8,Summer
2017-07-01,13,Summer
2017-08-01,6,Summer
2017-09-01,11,Fall
2017-10-01,6,Fall
2017-11-01,8,Fall
2017-12-01,7,Winter
2018-01-01,9,Winter
2018-02-01,11,Winter
2018-03-01,4,Spring
2018-04-01,6,Spring
2018-05-01,9,Spring
2018-06-01,9,Summer
2018-07-01,9,Summer
2018-08-01,14,Summer
2018-09-01,8,Fall
2018-10-01,8,Fall
2018-11-01,6,Fall
2018-12-01,1,Winter
2019-01-01,15,Winter
2019-02-01,8,Winter
2019-03-01,7,Spring
2019-04-01,14,Spring
2019-05-01,10,Spring
2019-06-01,7,Summer
2019-07-01,15,Summer
2019-08-01,9,Summer
2019-09-01,5,Fall
2019-10-01,14,Fall
2019-11-01,12,Fall
2019-12-01,11,Winter
2020-01-01,11,Winter
2020-02-01,11,Winter
2020-03-01,7,Spring
2020-04-01,10,Spring
2020-05-01,16,Spring
2020-06-01,9,Summer
2020-07-01,15,Summer
2020-08-01,13,Summer
2020-09-01,8,Fall
2020-10-01,10,Fall
2020-11-01,15,Fall
2020-12-01,20,Winter
2021-01-01,20,Winter
2021-02-01,15,Winter
2021-03-01,15,Spring
2021-04-01,11,Spring
2021-05-01,23,Spring
2021-06-01,13,Summer
2021-07-01,16,Summer
2021-08-01,24,Summer
2021-09-01,18,Fall
2021-10-01,24,Fall
2021-11-01,26,Fall
2021-12-01,14,Winter
2022-01-01,22,Winter
2022-02-01,11,Winter
2022-03-01,11,Spring
2022-04-01,15,Spring
2022-05-01,23,Spring
2022-06-01,12,Summer
2022-07-01,19,Summer
2022-08-01,13,Summer
2022-09-01,13,Fall
2022-10-01,11,Fall
2022-11-01,18,Fall
2022-12-01,19,Winter
2023-01-01,19,Winter
2023-02-01,13,Winter
2023-03-01,14,Spring
2023-04-01,8,Spring
2023-05-01,14,Spring
2023-06-01,13,Summer
2023-07-01,13,Summer
2023-08-01,5,Summer
2023-09-01,15,Fall
2023-10-01,10,Fall
2023-11-01,16,Fall
2023-12-01,9,Winter
